created_at,entry_id,field1,field2,field3
2025-02-03T18:04:55+00:00,75,593.84619,116.52747,1401.79492
2025-02-03T18:05:29+00:00,76,598.68127,117.89744,1641.94141
2025-02-03T18:06:36+00:00,77,547.1062,114.91576,1409.04761
2025-02-03T18:07:10+00:00,78,535.82422,114.83517,1248.27832
2025-02-03T18:07:44+00:00,79,608.35168,123.45787,1247.06958
2025-02-03T18:08:51+00:00,80,574.50549,123.69963,1633.47986
2025-02-03T18:09:19+00:00,81,648.64471,117.33333,186.95972
2025-02-03T18:09:47+00:00,82,601.09894,121.68498,248.20512
2025-02-03T18:10:48+00:00,83,630.91571,123.69963,261.50183
2025-02-03T18:11:16+00:00,84,795.31134,126.60073,122.49084
2025-02-03T18:11:44+00:00,85,804.17584,126.43956,296.55676
2025-02-03T18:12:45+00:00,86,851.72162,123.69963,181.72162
2025-02-03T18:13:13+00:00,87,867.03296,123.69963,77.76557
2025-02-03T18:14:43+00:00,88,841.24542,123.69963,251.02565
2025-02-03T18:15:09+00:00,89,856.55682,123.05495,166.81319
2025-02-03T18:16:06+00:00,90,831.57513,122.57143,260.69595
2025-02-03T18:16:32+00:00,91,824.32239,123.21612,233.29671
2025-02-03T18:16:58+00:00,92,815.45789,123.2967,257.4725
2025-02-03T18:17:55+00:00,93,656.70331,119.91209,56.00732
2025-02-03T18:18:41+00:00,94,589.01099,117.65569,236.52014
2025-02-03T18:24:57+00:00,95,557.5824,68.73993,52.78389
2025-02-03T18:25:23+00:00,96,696.99634,130.2271,84.21246
2025-02-03T18:25:49+00:00,97,686.52014,134.49817,89.04762
2025-02-03T18:27:18+00:00,98,642.19781,131.35532,54.3956
2025-02-03T18:27:47+00:00,99,611.57507,132.80586,1.20879
2025-02-03T18:28:13+00:00,100,594.65204,133.53114,31.42857
2025-02-03T18:28:39+00:00,101,587.39929,133.69231,40.29304
2025-02-03T18:30:44+00:00,102,430.25638,112.98169,1642.74731
2025-02-03T18:31:47+00:00,103,427.83884,122.65202,1641.13562
2025-02-03T19:08:58+00:00,104,454.43222,91.4652,73.33333
2025-02-03T19:09:25+00:00,105,568.05865,150.13187,141.02565
2025-02-03T19:09:51+00:00,106,569.67035,155.28938,101.94139
2025-02-03T19:10:17+00:00,107,552.74725,155.77289,122.89378
2025-02-03T19:10:43+00:00,108,479.41388,146.10255,19.34066
2025-02-03T19:11:09+00:00,109,479.41388,146.50549,83.80952
2025-02-03T19:11:35+00:00,110,472.96704,144.89378,91.4652
2025-02-03T19:12:01+00:00,111,479.41388,147.15018,644.68866
2025-02-03T20:23:44+00:00,112,481.83151,168.58607,194.61537
2025-02-03T20:24:10+00:00,113,493.9194,163.99268,324.35898
2025-02-03T20:24:36+00:00,114,495.5311,161.73627,93.47986
